Ticker,Market Cap,Exchange,Outstanding Shares
AA,4325628000,NYSE,178450000
AAP,3050826000,NYSE,59470000
ACHC,7147982000,NASDAQ,92172000
ACI,12865450000,NYSE,575893000
ACM,10835967000,NYSE,138727000
ADC,5309076000,NYSE,96269000
ADT,5997175000,NYSE,866481000
AFG,9258619000,NYSE,84864000
AFRM,5387346000,NASDAQ,239683000
AGCO,8674063000,NYSE,74880000
AGL,7359498000,NYSE,405482000
AGNC,5200141000,NASDAQ,606077000
AGO,3592799000,NYSE,58610000
AGR,11885473000,NYSE,386771000
AIRC,4643851000,NYSE,149224000
AL,3843754000,NYSE,111027000
ALGM,5678940000,NASDAQ,192376000
ALLY,7426131000,NYSE,301619000
ALNY,20635165000,NASDAQ,125001000
ALSN,5288821000,NYSE,89535000
AM,6000772000,NYSE,479678000
AMBP,1601568000,NYSE,597600000
AMC,1856621000,NYSE,198357000
AMED,3020184000,NASDAQ,32633000
AMG,4387522000,NYSE,35046900
AMH,14042451000,NYSE,361366000
AN,5895772000,NYSE,44047600
APLS,5437095000,NASDAQ,117737000
APO,47267369000,NYSE,566891000
APP,13397102000,NASDAQ,276633000
AR,8518890000,NYSE,300384000
ARES,32014186000,NYSE,181355000
ARMK,6896941000,NYSE,261050000
ARW,6269835000,NYSE,55663000
ASH,3894316000,NYSE,51241000
ATR,8252553000,NYSE,65637000
AVT,4232538000,NASDAQ,91317000
AVTR,14187519000,NYSE,675918000
AWI,3118382000,NYSE,44720800
AXS,4910446000,NYSE,85221000
AXTA,5711044000,NYSE,221702000
AYI,5148617000,NYSE,31192400
AYX,2527312000,NYSE,63165000
AZEK,4052137000,NYSE,149360000
AZPN,12206941000,NASDAQ,64383000
AZTA,2961526000,NASDAQ,59195000
BAH,16419688000,NYSE,131043000
BC,5080431000,NYSE,69834000
BEPC,4114031000,NYSE,179652000
BERY,6600609000,NYSE,118100000
BF.A,N/A,N/A,N/A
BFAM,4572830000,NYSE,57877000
BHF,3146080000,NASDAQ,65502000
BILL,11804483000,NYSE,106606000
BJ,9242218000,NYSE,133732000
BKI,11876213000,NYSE,156761000
BLD,7254002000,NYSE,31757300
BLDR,13927871000,NYSE,125037000
BMRN,15541373000,NASDAQ,188175000
BOKF,5047382000,NASDAQ,66369000
BPOP,4546930000,NASDAQ,72128000
BRKR,8759781000,NASDAQ,146853000
BRX,6096026000,NYSE,300593000
BSY,15450320000,NASDAQ,283365000
BURL,7802196000,NYSE,64684000
BWXT,7059361000,NYSE,91466000
BYD,5981718000,NYSE,100012000
CABO,3516118000,NYSE,5622100
CACC,5365834000,NASDAQ,12822200
CACI,7509271000,NYSE,22656500
CAR,6553073000,NASDAQ,38738900
CASY,10025091000,NASDAQ,37266600
CAVA,None,NYSE,0
CBSH,5789821000,NASDAQ,124700000
CC,3706367000,NYSE,148077000
CCCS,7775175000,NASDAQ,632128000
CCK,9638649000,NYSE,120649000
CELH,13219903000,NASDAQ,76891000
CERT,2195322000,NASDAQ,159776000
CFLT,8867014000,NASDAQ,211915000
CFR,5857645000,NYSE,64123000
CG,9913079000,NASDAQ,359952000
CGNX,6380012000,NASDAQ,172293000
CHDN,8400313000,NASDAQ,74869000
CHE,7825208000,NYSE,15076600
CHH,5809545000,NYSE,50378000
CHK,11828691000,NASDAQ,132356000
CHPT,1380902000,NYSE,401425000
CIEN,6227105000,NYSE,147842000
CLF,7319934000,NYSE,508682000
CLH,8601313000,NYSE,54151000
CLVT,4578104000,NYSE,676234000
CNA,10921157000,NYSE,270862000
CNHI,15189856000,NYSE,1330110000
CNM,7230892000,NYSE,172926000
CNXC,5296330000,NASDAQ,66915000
COHR,4836068000,NYSE,151411000
COIN,17415834000,NASDAQ,189950000
COLB,4142220000,NASDAQ,208571000
COLD,7367819000,NYSE,270255000
COLM,4477725000,NASDAQ,61330000
COTY,8580263000,NYSE,890993000
CPNG,31286802000,NYSE,1608940000
CPRI,5992824000,NYSE,116140000
CR,4768957000,NYSE,56773000
CRI,2519779000,NYSE,37258300
CROX,5205861000,NASDAQ,61644000
CRUS,3798494000,NASDAQ,54710000
CRWD,44347707000,NASDAQ,226056000
CSL,12311024000,NYSE,49919000
CUBE,8182630000,NYSE,224809000
CUZ,2783994000,NYSE,151774000
CW,7787488000,NYSE,38305400
CWEN,4276465000,NYSE,82386000
CWEN.A,N/A,N/A,N/A
CXT,2992061000,NYSE,56797000
DAR,6891607000,NYSE,159491000
DASH,29642871000,NASDAQ,365829000
DBX,9365040000,NASDAQ,257875000
DCI,7094192000,NYSE,120588000
DDOG,28619411000,NASDAQ,299067000
DECK,13299325000,NYSE,26134500
DINO,10263328000,NYSE,181039000
DISH,2696062000,NASDAQ,295438000
DKNG,13246487000,NASDAQ,463975000
DKS,9251364000,NYSE,61452000
DLB,7690509000,NYSE,59556000
DNA,3484091000,NYSE,1600990000
DNB,4251708000,NYSE,439226000
DOCS,4205779000,NYSE,125514000
DOCU,8244026000,NASDAQ,203205000
DOX,9681576000,NASDAQ,119026000
DRVN,1884735000,NASDAQ,167532000
FTI,9063647000,NYSE,438069000
FTRE,2491728000,NASDAQ,88800000
FWONA,15824089000,NASDAQ,23974000
FWONK,15827554000,NASDAQ,208137000
FYBR,4082057000,NASDAQ,245759000
G,6395086000,NYSE,181318000
GDDY,11103147000,NYSE,146812000
GFS,30756254000,NASDAQ,552673000
GGG,11954564000,NYSE,168993000
GLOB,7847449000,NYSE,42434700
GLPI,11989516000,NASDAQ,262640000
GME,4016972000,NYSE,305241000
GMED,7184692000,NYSE,117350000
GNTX,7082448000,NASDAQ,233436000
GO,2718354000,NASDAQ,98777000
GPK,6423782000,NYSE,307211000
GPS,4431174000,NYSE,369881000
GTES,2936636000,NYSE,264086000
GTLB,7068243000,NASDAQ,104100000
GWRE,7253923000,NYSE,81441000
GXO,6339289000,NYSE,118936000
H,10890259000,NYSE,45917100
HAYW,2719386000,NYSE,213118000
HCP,4129814000,NASDAQ,109377000
HE,1370150000,NYSE,109612000
HEI,19501046000,NYSE,54713000
HEI.A,N/A,N/A,N/A
HHH,3338857000,NYSE,50103000
HIW,2019006000,NYSE,105676000
HLI,7094612000,NYSE,51450000
HOG,4220856000,NYSE,141687000
HOOD,8329712000,NASDAQ,784179000
HR,5533866000,NYSE,380858000
HRB,6343444000,NYSE,146196000
HTZ,3430052000,NASDAQ,311257000
HUBS,22248305000,NYSE,50015000
HUN,4128943000,NYSE,177895000
HXL,5483513000,NYSE,84466000
IAC,3907710000,NASDAQ,80056000
IART,3160098000,NASDAQ,81404000
LEN.B,N/A,N/A,N/A
LSXMK,8237999000,NASDAQ,218680000
RGEN,8156031000,NASDAQ,55756000
WING,5440934000,NASDAQ,29977600
WLK,15065788000,NYSE,127687000
WMS,8672668000,NYSE,78692000
WOLF,4074643000,NYSE,125258000
WOOF,846137000,NASDAQ,229974000
WPC,11449319000,NYSE,213926000
WSC,8274971000,NASDAQ,197305000
WSM,10284368000,NYSE,64145000
WSO,13940966000,NYSE,33817800
WTFC,4733693000,NASDAQ,61212000
WTM,3822675000,NYSE,2560400
WTRG,8855661000,NYSE,264506000
WU,4958843000,NYSE,374535000
WWD,7535283000,NASDAQ,60418000
WWE,8370225000,NYSE,52063000
X,7139308000,NYSE,222964000
XP,11711848000,NASDAQ,435366000
XPO,8296279000,NYSE,115967000
YETI,3546655000,NYSE,86736000
Z,9455844000,NASDAQ,169924000
ZG,9100569000,NASDAQ,56684000
ZI,11333562000,NASDAQ,401470000
ZM,18885050000,NASDAQ,254292000
